English title,Original title,Director(s),Production countrie(s),Palme d'Or,Un Certain Regard,Out of competition,Television series,Midnight screening,Short film,Cannes premiere,Special screening,International Critics' Week,Directors' Fortnight,Caméra d'Or
Kubi,Kubi,Takeshi Kitano,Japan,0,0,0,0,0,0,1,0,0,0,0
Lost In the Night,Perdidos en la Noche,Amat Escalante,Mexico,0,0,0,0,0,0,1,0,0,0,0
Anselm (Das Rauschen Der Zeit),Anselm (Das Rauschen Der Zeit),Wim Wenders,Germany,0,0,0,0,0,0,0,1,0,0,0
Bread and Roses,Bread and Roses,Sahra Mani,Afghanistan,0,0,0,0,0,0,0,1,0,0,0
Little Girl Blue,Little Girl Blue,Mona Achache,"France, Belgium",0,0,0,0,0,0,0,1,0,0,0
Man in Black,Man in Black,Wang Bing,China,0,0,0,0,0,0,0,1,0,0,0
Occupied City,Occupied City,Steve McQueen,"United States, United Kingdom",0,0,0,0,0,0,0,1,0,0,0
Pictures of Ghosts,Retratos Fantasmas,Kleber Mendonça Filho,Brazil,0,0,0,0,0,0,0,1,0,0,0
Le Théorème de Marguerite,Le Théorème de Marguerite,Anna Novion,France,0,0,0,0,0,0,0,1,0,0,0
Il Pleut Dans La Maison,Il Pleut Dans La Maison,Paloma Sermon-Daï,"Belgium, France",0,0,0,0,0,0,0,0,1,0,1
Inshallah A Boy,Inshallah A Boy,Amjad Al Rasheed,"Jordan, Saudi Arabia, Qatar, France",0,0,0,0,0,0,0,0,1,0,1
Lost Country,Lost Country,Vladimir Perišić,"France, Serbia, Luxembourg, Croatia",0,0,0,0,0,0,0,0,1,0,0
Power Alley,Levante,Lillah Halla,"Brazil, France, Uruguay",0,0,0,0,0,0,0,0,1,0,1
Le Ravissement,Le Ravissement,Iris Kaltenbäck,France,0,0,0,0,0,0,0,0,1,0,1
Sleep,Jam,Jason Yu,South Korea,0,0,0,0,0,0,0,0,1,0,1
Tiger Stripes,Tiger Stripes,Amanda Nell Eu,"Malaysia, Taiwan, Singapore, France, Germany, Netherlands, Indonesia, Qatar",0,0,0,0,0,0,0,0,1,0,1
Anna Gloria,Anna Gloria,Marie Amachoukeli,France,0,0,0,0,0,0,0,0,1,0,0
The (Exp)erience Of Love,Le Syndrome Des Amour Passés,"Ann Sirot, Raphaël Balboni","Belgium, France",0,0,0,0,0,0,0,0,1,0,0
No Love Lost,La Fille de Son Père,Erwan Le Duc,France,0,0,0,0,0,0,0,0,1,0,0
Vincent Must Die,Vincent Must Die,Stéphan Castang,France,0,0,0,0,0,0,0,0,1,0,1
Agra,Agra,Kanu Behl,India,0,0,0,0,0,0,0,0,0,1,0
