English title,Original title,Director(s),Production countrie(s)
Pictures of Ghosts,Retratos Fantasmas,Kleber Mendonça Filho,Brazil
Anselm (Das Rauschen Der Zeit),Anselm (Das Rauschen Der Zeit),Wim Wenders,Germany
Occupied City,Occupied City,Steve McQueen,"United States, United Kingdom"
Man in Black,Man in Black,Wang Bing,China
