English title,Original title,Director(s),Production country
Anna Gloria (opening film),Anna Gloria (opening film),Marie Amachoukeli,France
The (Exp)erience Of Love,Le Syndrome Des Amour Passés,Ann Sirot and Raphaël Balboni,"Belgium, France"
No Love Lost (closing film),La Fille de Son Père,Erwan Le Duc,France
Vincent Must Die (CdO),Vincent Must Die (CdO),Stéphan Castang,France
