English title,Original title,Director(s),Production country
Il Pleut Dans La Maison (CdO),Il Pleut Dans La Maison (CdO),Paloma Sermon-Daï,"Belgium, France"
Inshallah A Boy (CdO),Inshallah A Boy (CdO),Amjad Al Rasheed,"Jordan, Saudi Arabia, Qatar, France"
Lost Country,Lost Country,Vladimir Perišić,"France, Serbia, Luxembourg, Croatia"
Power Alley (CdO),Levante,Lillah Halla,"Brazil, France, Uruguay"
Le Ravissement (CdO),Le Ravissement (CdO),Iris Kaltenbäck,France
Sleep (CdO),Jam,Jason Yu,South Korea
Tiger Stripes (CdO),Tiger Stripes (CdO),Amanda Nell Eu,"Malaysia, Taiwan, Singapore, France, Germany, Netherlands, Indonesia, Qatar"
